"Designator","Value","Package","Mid X","Mid Y","Rotation","Layer"
"C2","100u","CP_EIA-3528-21_Kemet-B","49.516500","-35.306000","180.000000","top"
"C3","100u","CP_EIA-3528-21_Kemet-B","73.152000","-95.504000","180.000000","top"
"C4","100n","C_0402_1005Metric","80.264000","-44.478000","270.000000","top"
"C5","C","C_0603_1608Metric","42.926000","-53.721000","270.000000","top"
"C6","C","C_0603_1608Metric","42.926000","-66.421000","270.000000","top"
"C7","C","C_0603_1608Metric","42.926000","-79.248000","270.000000","top"
"C8","C","C_0603_1608Metric","94.615000","-82.283000","270.000000","top"
"C9","C","C_0603_1608Metric","94.488000","-69.469000","270.000000","top"
"C10","C","C_0603_1608Metric","94.742000","-53.721000","270.000000","top"
"Q1","Q_NMOS_GSD","SOT-23","48.768000","-53.594000","0.000000","top"
"Q2","Q_NMOS_GSD","SOT-23","89.408000","-93.218000","180.000000","top"
"Q3","Q_NMOS_GSD","SOT-23","49.022000","-67.056000","0.000000","top"
"Q4","Q_NMOS_GSD","SOT-23","89.200203","-82.807282","180.000000","top"
"Q5","Q_NMOS_GSD","SOT-23","48.006000","-77.978000","0.000000","top"
"Q6","Q_NMOS_GSD","SOT-23","89.789000","-68.834000","180.000000","top"
"Q7","Q_PMOS_GSD","SOT-23","48.768000","-58.166000","90.000000","top"
"Q8","Q_PMOS_GSD","SOT-23","89.281000","-89.281000","270.000000","top"
"Q9","Q_PMOS_GSD","SOT-23","49.022000","-71.628000","90.000000","top"
"Q10","Q_PMOS_GSD","SOT-23","89.154000","-78.994000","270.000000","top"
"Q11","Q_PMOS_GSD","SOT-23","48.006000","-82.804000","90.000000","top"
"Q12","Q_PMOS_GSD","SOT-23","89.789000","-65.151000","270.000000","top"
"R3","1k","R_0603_1608Metric","55.372000","-60.389000","270.000000","top"
"R4","1k","R_0603_1608Metric","81.343000","-88.900000","180.000000","top"
"R5","10k","R_0603_1608Metric","54.229000","-57.341000","90.000000","top"
"R6","10k","R_0603_1608Metric","81.343000","-90.551000","180.000000","top"
"R9","1k","R_0603_1608Metric","55.372000","-73.215000","270.000000","top"
"R10","1k","R_0603_1608Metric","80.518000","-81.280000","270.000000","top"
"R11","10k","R_0603_1608Metric","53.848000","-72.136000","270.000000","top"
"R12","10k","R_0603_1608Metric","82.089923","-81.278430","270.000000","top"
"R15","1k","R_0603_1608Metric","55.372000","-85.979000","270.000000","top"
"R16","1k","R_0603_1608Metric","80.518000","-76.009000","270.000000","top"
"R17","10k","R_0603_1608Metric","54.102000","-82.550000","90.000000","top"
"R18","10k","R_0603_1608Metric","82.068487","-76.015007","270.000000","top"
